生詞,冊,課-序號
欣賞,3,4-2
美麗,3,4-2
鈴木,3,4-2
赤崁樓,3,4-2
留下來,3,4-2
木造,3,4-2
非去不可,3,4-2
流行,3,5-1
唉,3,5-1
演唱會,3,5-1
塞車,3,5-1
上線,3,5-1
成功,3,5-1
倒楣,3,5-1
樂團,3,5-1
唱,3,5-1
興奮,3,5-1
迷,3,5-1
歌詞,3,5-1
難過,3,5-1
不如,3,5-1
現場,3,5-1
跳,3,5-1
整,3,5-1
震動,3,5-1
漫畫,3,5-1
內容,3,5-1
色情,3,5-1
放鬆,3,5-1
心情,3,5-1
五月天,3,5-1
算了,3,5-1
受歡迎,3,5-1
擠滿,3,5-1
租書店,3,5-1
平板電腦,3,5-1
智慧型手機,3,5-1
殺時間,3,5-1
漫畫展,3,5-1
來不及,3,5-1
撞衫,3,5-2
它,3,5-2
塞,3,5-2
當季,3,5-2
款式,3,5-2
連續劇,3,5-2
主角,3,5-2
甜美,3,5-2
寄,3,5-2
居然,3,5-2
害,3,5-2
既然,3,5-2
服裝,3,5-2
媒體,3,5-2
方式,3,5-2
吸引,3,5-2
避免,3,5-2
包包,3,5-2
商人,3,5-2
產品,3,5-2
電子,3,5-2
市場,3,5-2
新型,3,5-2
落伍,3,5-2
知音,3,5-2
想像,3,5-2
喇叭褲,3,5-2
印象,3,5-2
遊戲,3,5-2
化妝,3,5-2
一模一樣,3,5-2
淺藍色,3,5-2
脫掉,3,5-2
小題大作,3,5-2
推出,3,5-2
李文彥,3,6-1
表哥,3,6-1
隨便,3,6-1
種,3,6-1
蔬菜,3,6-1
農夫,3,6-1
減少,3,6-1
農藥,3,6-1
天然,3,6-1
堆肥,3,6-1
辛苦,3,6-1
地位,3,6-1
收入,3,6-1
利潤,3,6-1
屋子,3,6-1
番茄,3,6-1
品種,3,6-1
氣候,3,6-1
長,3,6-1
熟,3,6-1
片,3,6-1
田,3,6-1
照顧,3,6-1
敢,3,6-1
條件,3,6-1
黑,3,6-1
摘下來,3,6-1
做不動,3,6-1
基因改造,3,6-1
忙得過來,3,6-1
開玩笑,3,6-1
看天吃飯,3,6-1
小農,3,6-2
市集,3,6-2
食材,3,6-2
產地,3,6-2
盡量,3,6-2
友善,3,6-2
對待,3,6-2
土地,3,6-2
信任,3,6-2
寧可,3,6-2
跑,3,6-2
支持,3,6-2
文章,3,6-2
推銷,3,6-2
其中,3,6-2
師傅,3,6-2
農村,3,6-2
長大,3,6-2
幫助,3,6-2
拜訪,3,6-2
出產,3,6-2
由於,3,6-2
許多,3,6-2
接近,3,6-2
自然,3,6-2
變成,3,6-2
休閒,3,6-2
隨著,3,6-2
觀光,3,6-2
消費,3,6-2
安靜,3,6-2
消失,3,6-2
出問題,3,6-2
一方面,3,6-2
親,3,7-1
爺爺,3,7-1
鄰居,3,7-1
狗,3,7-1
叫,3,7-1
嗯,3,7-1
奶奶,3,7-1
過世,3,7-1
領養,3,7-1
隻,3,7-1
可愛,3,7-1
孤單,3,7-1
牠,3,7-1
髒,3,7-1
洗澡,3,7-1
養,3,7-1
亂,3,7-1
咬,3,7-1
打,3,7-1
分手,3,7-1
緊張,3,7-1
減輕,3,7-1
送,3,7-1
美容院,3,7-1
推車,3,7-1
主人,3,7-1
相處,3,7-1
生 ,3,7-1
寵物,3,7-1
單身,3,7-1
醫院,3,7-1
意見,3,7-1
建立,3,7-1
散步,3,7-1
家庭,3,7-1
真正,3,7-1
幸福,3,7-1
跌倒,3,7-1
當成,3,7-1
忍不住,3,7-1
多元,3,7-2
阿姨,3,7-2
先生,3,7-2
下班,3,7-2
改,3,7-2
公公,3,7-2
全,3,7-2
靠,3,7-2
單親,3,7-2
貴族,3,7-2
時代,3,7-2
強,3,7-2
追,3,7-2
自由,3,7-2
獨立,3,7-2
安排,3,7-2
享受,3,7-2
身邊,3,7-2
伴,3,7-2
同居,3,7-2
成家,3,7-2
負擔,3,7-2
養家,3,7-2
責任,3,7-2
亂,3,7-2
教養,3,7-2
接受,3,7-2
組成,3,7-2
道德,3,7-2
因此,3,7-2
完整,3,7-2
美真,3,7-2
家華,3,7-2
風雲人物,3,7-2
下決心,3,7-2
整夜,3,8-1
開,3,8-1
燈,3,8-1
電玩,3,8-1
球賽,3,8-1
激動,3,8-1
喊,3,8-1
公職,3,8-1
其實,3,8-1
公務員,3,8-1
煩,3,8-1
聽話,3,8-1
失業率,3,8-1
門,3,8-1
讀書,3,8-1
學分,3,8-1
修,3,8-1
專心,3,8-1
修課,3,8-1
輔系,3,8-1
瘋,3,8-1
誇張,3,8-1
舉行,3,8-1
遺憾,3,8-1
兒子,3,8-1
期望,3,8-1
狀元,3,8-1
努力,3,8-1
怎麼回事,3,8-1
大喊大叫,3,8-1
期中考,3,8-1
密集班,3,8-1
畢業展,3,8-1
服裝設計,3,8-1
醫學系,3,8-1
行行出狀元,3,8-1
冠軍,3,8-2
大賽,3,8-2
通過,3,8-2
高級,3,8-2
碩士,3,8-2
面試,3,8-2
卻,3,8-2
國中,3,8-2
學歷,3,8-2
拒絕,3,8-2
引起,3,8-2
彈性,3,8-2
改變,3,8-2
制度,3,8-2
基礎,3,8-2
認真,3,8-2
公平,3,8-2
出生,3,8-2
窮,3,8-2
父親,3,8-2
母親,3,8-2
學徒,3,8-2
吃苦,3,8-2
明白,3,8-2
當兵,3,8-2
認字,3,8-2
烘焙,3,8-2
學習,3,8-2
技術,3,8-2
藝術,3,8-2
經過,3,8-2
終於,3,8-2
億,3,8-2
夢想,3,8-2
成為,3,8-2
企業家,3,8-2
分店,3,8-2
原因,3,8-2
錄取,3,8-2
成功,3,8-2
鼓勵,3,8-2
吳寶春,3,8-2
新加坡,3,8-2
日文,3,8-2
世界麵包大賽,3,8-2
EMBA(高級管理人員工商管理碩士),3,8-2
小時候,3,8-2
大開眼界,3,8-2
X分之Y,3,8-2
訂單,3,9-1
客戶,3,9-1
方便,3,9-1
訂購,3,9-1
成立,3,9-1
假日,3,9-1
販賣,3,9-1
阿嬤,3,9-1
中間商,3,9-1
經營,3,9-1
宅配,3,9-1
下,3,9-1
既,3,9-1
隨時,3,9-1
搜尋,3,9-1
冰箱,3,9-1
吃虧,3,9-1
比價,3,9-1
風險,3,9-1
賣家,3,9-1
必須,3,9-1
信用,3,9-1
萬一,3,9-1
滿意,3,9-1
以內,3,9-1
普遍,3,9-1
選擇,3,9-1
網購,3,9-1
貨比三家不吃虧,3,9-1
兩成,3,9-1
鳳梨,3,9-2
農產品,3,9-2
出口,3,9-2
曾經,3,9-2
占,3,9-2
成本,3,9-2
價格,3,9-2
競爭,3,9-2
好運,3,9-2
內餡,3,9-2
當做,3,9-2
喜餅,3,9-2
喜愛,3,9-2
茶點,3,9-2
商機,3,9-2
代表,3,9-2
政府,3,9-2
舉辦,3,9-2
產值,3,9-2
提高,3,9-2
知名,3,9-2
出現,3,9-2
科技,3,9-2
(台)斤,3,9-2
叔叔,3,9-2
口味,3,9-2
結果,3,9-2
購買,3,9-2
改善,3,9-2
並且,3,9-2
行銷,3,9-2
團購,3,9-2
店面,3,9-2
全,3,9-2
閩南語,3,9-2
旺來,3,9-2
東京,3,9-2
鳳梨酥,3,9-2
第二位,3,9-2
鳳梨農,3,9-2
住院,3,10-1
臉,3,10-1
受傷,3,10-1
撞,3,10-1
遵守,3,10-1
規則,3,10-1
報警,3,10-1
急診室,3,10-1
傷,3,10-1
骨折,3,10-1
片子,3,10-1
開刀,3,10-1
病人,3,10-1
情況,3,10-1
緊急,3,10-1
病床,3,10-1
要命,3,10-1
打針,3,10-1
止痛,3,10-1
手術,3,10-1
警察,3,10-1
危險,3,10-1
至於,3,10-1
部位,3,10-1
恢復,3,10-1
傷口,3,10-1
哎呀,3,10-1
出車禍,3,10-1
趕時間,3,10-1
撞倒,3,10-1
救護車,3,10-1
照X光,3,10-1
動手術,3,10-1
醫美,3,10-2
合理,3,10-2
休假,3,10-2
迷人,3,10-2
職場,3,10-2
競爭力,3,10-2
調查,3,10-2
整型,3,10-2
增加,3,10-2
自信,3,10-2
外表,3,10-2
普通,3,10-2
從事,3,10-2
醫治,3,10-2
一向,3,10-2
一般,3,10-2
主要,3,10-2
待遇,3,10-2
公立,3,10-2
外科,3,10-2
超過,3,10-2
倍,3,10-2
另,3,10-2
價值觀,3,10-2
尊敬,3,10-2
告,3,10-2
平均,3,10-2
醫療,3,10-2
怪,3,10-2
愛林,3,10-2
微整型,3,10-2
數一數二,3,10-2
人際關係,3,10-2
動不動就,3,10-2
找回,3,10-2
建,3,11-1
重建,3,11-1
到底,3,11-1
世紀,3,11-1
貿易,3,11-1
商業,3,11-1
利益,3,11-1
派,3,11-1
軍隊,3,11-1
燒,3,11-1
城牆,3,11-1
頭髮,3,11-1
甚至,3,11-1
打仗,3,11-1
少數,3,11-1
開墾,3,11-1
將軍,3,11-1
軍人,3,11-1
平原,3,11-1
人口,3,11-1
血統,3,11-1
嘍,3,11-1
孫子,3,11-1
領土,3,11-1
男性,3,11-1
禁止,3,11-1
娶,3,11-1
相信,3,11-1
精彩,3,11-1
紅毛城,3,11-1
東方,3,11-1
淡水,3,11-1
漢人,3,11-1
鄭成功,3,11-1
明朝,3,11-1
中南美洲,3,11-1
清朝,3,11-1
大清帝國,3,11-1
輪到,3,11-1
十七世紀初,3,11-1
打敗,3,11-1
十七世紀末,3,11-1
餐桌,3,11-2
中式,3,11-2
套,3,11-2
燒餅,3,11-2
油條,3,11-2
飯糰,3,11-2
豆漿,3,11-2
內戰,3,11-2
人民,3,11-2
攤子,3,11-2
菜單,3,11-2
蘿蔔,3,11-2
接著,3,11-2
戰爭,3,11-2
不斷,3,11-2
遷移,3,11-2
多半,3,11-2
困難,3,11-2
節儉,3,11-2
主婦,3,11-2
煎,3,11-2
菜色,3,11-2
以及,3,11-2
美味,3,11-2
點心,3,11-2
日式,3,11-2
飲食,3,11-2
深,3,11-2
蔣介石,3,11-2
國共內戰,3,11-2
客家人,3,11-2
閩南人,3,11-2
蛋餅,3,11-2
打輸,3,11-2
擺攤子,3,11-2
蘿蔔糕,3,11-2
烹飪課,3,11-2
曬乾,3,11-2
各種各樣,3,11-2
殖民統治,3,11-2
味噌湯,3,11-2
蘿蔔乾,3,11-2
進一步,3,11-2
投票,3,12-1
抱歉,3,12-1
表妹,3,12-1
反核,3,12-1
遊行,3,12-1
政治,3,12-1
熱衷,3,12-1
前途,3,12-1
勸,3,12-1
而已,3,12-1
民主,3,12-1
表達,3,12-1
公共,3,12-1
議題,3,12-1
核能,3,12-1
電廠,3,12-1
由,3,12-1
專家,3,12-1
全面,3,12-1
民意,3,12-1
代表,3,12-1
處理,3,12-1
政黨,3,12-1
難道,3,12-1
滿,3,12-1
憲法,3,12-1
投票權,3,12-1
選舉,3,12-1
權利,3,12-1
表示,3,12-1
反映,3,12-1
為,3,12-1
服務,3,12-1
職位,3,12-1
任期,3,12-1
選民,3,12-1
完美,3,12-1
積極,3,12-1
最佳,3,12-1
推銷員,3,12-1
有道理,3,12-1
候選人,3,12-1
學術界,3,12-2
從政,3,12-2
政策,3,12-2
安定,3,12-2
辭,3,12-2
頭腦,3,12-2
改革,3,12-2
看法,3,12-2
教育,3,12-2
方面,3,12-2
得到,3,12-2
連任,3,12-2
屆,3,12-2
支持度,3,12-2
落選,3,12-2
得票率,3,12-2
預期,3,12-2
暫時,3,12-2
老家,3,12-2
形象,3,12-2
商量,3,12-2
人脈,3,12-2
弱勢,3,12-2
退休,3,12-2
事業,3,12-2
捐,3,12-2
義務,3,12-2
經費,3,12-2
競選,3,12-2
也許,3,12-2
政治界,3,12-2
權力,3,12-2
辭掉,3,12-2
提出,3,12-2
國民年金,3,12-2
中間選民,3,12-2
一陣子,3,12-2
下一步,3,12-2
盡可能,3,12-2
出版社,3,12-2
捐出,3,12-2
二手書,3,12-2
小玲,4,1-1
阿建,4,1-1
聊天室,4,1-1
上班族,4,1-1
與其,4,1-1
冷清,4,1-1
高就,4,1-1
部門,4,1-1
厲害,4,1-1
加班,4,1-1
類,4,1-1
恐怖片,4,1-1
愛情片,4,1-1
嚇,4,1-1
哭,4,1-1
上癮,4,1-1
刺激,4,1-1
簡直,4,1-1
膽子,4,1-1
部,4,1-1
限制級,4,1-1
電影院,4,1-1
呃,4,1-1
建設公司,4,1-1
業務經理,4,1-1
室內設計,4,1-1
溫暖,4,1-2
目前,4,1-2
所,4,1-2
就讀,4,1-2
不至於,4,1-2
但,4,1-2
放學,4,1-2
後,4,1-2
解決,4,1-2
寂寞,4,1-2
網友,4,1-2
陪伴,4,1-2
電腦,4,1-2
進入,4,1-2
線上,4,1-2
感情,4,1-2
小氣,4,1-2
時,4,1-2
往往,4,1-2
打氣,4,1-2
安慰,4,1-2
心裡,4,1-2
大膽,4,1-2
紓解,4,1-2
轉換,4,1-2
虛擬,4,1-2
現實,4,1-2
心理,4,1-2
即使,4,1-2
責備,4,1-2
期待,4,1-2
喘氣,4,1-2
自在,4,1-2
交友,4,1-2
暴力,4,1-2
點,4,1-2
懂得,4,1-2
陷阱,4,1-2
明星高中,4,1-2
早出晚歸,4,1-2
打開,4,1-2
喘不過氣,4,1-2
躲進,4,1-2
掉進,4,1-2
李雲真,4,2-1
眼睛,4,2-1
耳朵,4,2-1
饗宴,4,2-1
打扮,4,2-1
音樂廳,4,2-1
表演,4,2-1
整齊,4,2-1
穿著,4,2-1
丟臉,4,2-1
短褲,4,2-1
涼鞋,4,2-1
擋,4,2-1
演出者,4,2-1
尊重,4,2-1
社交,4,2-1
免得,4,2-1
中場,4,2-1
準時,4,2-1
禮貌,4,2-1
或,4,2-1
熟,4,2-1
提,4,2-1
咳嗽,4,2-1
關,4,2-1
哇,4,2-1
水準,4,2-1
手冊,4,2-1
洗手間,4,2-1
提醒,4,2-1
響,4,2-1
糟,4,2-1
噓,4,2-1
看不成,4,2-1
聯絡感情,4,2-1
擤鼻涕,4,2-1
場,4,2-2
強調,4,2-2
團體,4,2-2
千萬,4,2-2
鋼琴,4,2-2
小提琴,4,2-2
古典,4,2-2
畫家,4,2-2
畫,4,2-2
舞蹈,4,2-2
文學,4,2-2
繪畫,4,2-2
等,4,2-2
寺廟,4,2-2
表現,4,2-2
之,4,2-2
劇情,4,2-2
導演,4,2-2
所,4,2-2
紅,4,2-2
明星,4,2-2
演技,4,2-2
得,4,2-2
獎,4,2-2
廣場,4,2-2
或,4,2-2
仔細,4,2-2
留意,4,2-2
處處,4,2-2
滿足,4,2-2
豐盛,4,2-2
國家戲劇院,4,2-2
雲門舞集,4,2-2
國家音樂廳,4,2-2
金馬影展,4,2-2
現代舞,4,2-2
無人不知無人不曉,4,2-2
百聞不如一見,4,2-2
老街,4,2-2
街頭藝術,4,2-2
裝置藝術,4,2-2
填飽,4,2-2
口腹之慾,4,2-2
李文麗,4,3-1
外婆,4,3-1
女裝,4,3-1
何必,4,3-1
指,4,3-1
划算,4,3-1
身材,4,3-1
模特兒,4,3-1
不見得,4,3-1
仿冒品,4,3-1
瑕疵,4,3-1
圖片,4,3-1
落差,4,3-1
提供,4,3-1
資訊,4,3-1
疑問,4,3-1
嘛,4,3-1
慣,4,3-1
瀏覽,4,3-1
後悔,4,3-1
深夜,4,3-1
任何,4,3-1
駭客,4,3-1
盜用,4,3-1
認證,4,3-1
銀髮族,4,3-1
從前,4,3-1
通常,4,3-1
取貨,4,3-1
付款,4,3-1
雲端科技,4,3-1
宅經濟,4,3-1
用不慣,4,3-1
退換,4,3-1
信用卡,4,3-1
縮短,4,3-2
人們,4,3-2
距離,4,3-2
取代,4,3-2
信,4,3-2
影集,4,3-2
取得,4,3-2
例如,4,3-2
民眾,4,3-2
高速公路,4,3-2
前,4,3-2
查詢,4,3-2
路況,4,3-2
避開,4,3-2
路段,4,3-2
若,4,3-2
運用,4,3-2
病歷,4,3-2
例子,4,3-2
更加,4,3-2
原本,4,3-2
忙碌,4,3-2
確實,4,3-2
控制,4,3-2
表弟,4,3-2
退步,4,3-2
過度,4,3-2
與,4,3-2
生理,4,3-2
盯,4,3-2
螢幕,4,3-2
疲倦,4,3-2
視力,4,3-2
家長,4,3-2
此外,4,3-2
戶外,4,3-2
人類,4,3-2
正面,4,3-2
同時,4,3-2
負面,4,3-2
沉迷,4,3-2
無形中,4,3-2
遠距教學,4,3-2
大吵大鬧,4,3-2
焦慮不安,4,3-2
總而言之,4,3-2
該,4,4-1
擺,4,4-1
總算,4,4-1
欸,4,4-1
呀,4,4-1
衣櫥,4,4-1
梳妝台,4,4-1
位置,4,4-1
空間,4,4-1
科學,4,4-1
風水師,4,4-1
在意,4,4-1
所謂,4,4-1
角度,4,4-1
改造,4,4-1
學問,4,4-1
居住,4,4-1
日常,4,4-1
布置,4,4-1
凶猛,4,4-1
動物,4,4-1
刀,4,4-1
劍,4,4-1
脾氣,4,4-1
暴躁,4,4-1
衝動,4,4-1
鏡子,4,4-1
床腳,4,4-1
光,4,4-1
擺飾,4,4-1
老婆,4,4-1
把,4,4-1
欺負,4,4-1
風水學,4,4-1
正對門,4,4-1
譬如說,4,4-1
一口氣,4,4-1
死定了,4,4-1
地理,4,4-2
便利性,4,4-2
周邊,4,4-2
住宅,4,4-2
詞,4,4-2
西元,4,4-2
推翻,4,4-2
心中,4,4-2
名言,4,4-2
建造,4,4-2
塑造,4,4-2
命運,4,4-2
本身,4,4-2
地標,4,4-2
參考,4,4-2
外觀,4,4-2
疊,4,4-2
盆子,4,4-2
斜,4,4-2
牆面,4,4-2
聚寶盆,4,4-2
角,4,4-2
龍,4,4-2
古,4,4-2
錢幣,4,4-2
屋頂,4,4-2
龜,4,4-2
招財,4,4-2
側門,4,4-2
遮雨棚,4,4-2
如意,4,4-2
設計,4,4-2
偶然,4,4-2
晉代,4,4-2
郭璞,4,4-2
英國,4,4-2
邱吉爾,4,4-2
信義路,4,4-2
松智路,4,4-2
一命二運三風水,4,4-2
加起來,4,4-2
咬錢龜,4,4-2
十全十美,4,4-2
夢,4,5-1
排隊,4,5-1
校刊,4,5-1
採訪,4,5-1
校友,4,5-1
博士,4,5-1
學位,4,5-1
考,4,5-1
司機,4,5-1
學士,4,5-1
地攤,4,5-1
現象,4,5-1
稀奇,4,5-1
搶,4,5-1
批評,4,5-1
浪費,4,5-1
畢竟,4,5-1
貢獻,4,5-1
的確,4,5-1
盲目,4,5-1
升學,4,5-1
逃避,4,5-1
就業,4,5-1
延後,4,5-1
啃老族,4,5-1
收攤,4,5-1
清潔隊員,4,5-1
擺地攤,4,5-1
大多數,4,5-1
話說回來,4,5-1
自食其力,4,5-1
下一期,4,5-1
段,4,5-2
物價,4,5-2
上漲,4,5-2
所得,4,5-2
漲,4,5-2
勉強,4,5-2
根本,4,5-2
組織,4,5-2
抗議,4,5-2
地價,4,5-2
房價,4,5-2
高漲,4,5-2
造成,4,5-2
統計,4,5-2
窮忙,4,5-2
全球,4,5-2
景氣,4,5-2
施行,4,5-2
薪資,4,5-2
多年,4,5-2
未,4,5-2
調高,4,5-2
裁員,4,5-2
觀察,4,5-2
彩券,4,5-2
中獎,4,5-2
做夢,4,5-2
發財,4,5-2
臉色,4,5-2
報導,4,5-2
指出,4,5-2
創業,4,5-2
餐飲業,4,5-2
人生,4,5-2
及,4,5-2
挑戰,4,5-2
培養,4,5-2
實力,4,5-2
等待,4,5-2
擁有,4,5-2
中國大陸,4,5-2
存不了,4,5-2
無殼蝸牛,4,5-2
貧富不均,4,5-2
苦哈哈,4,5-2
另謀發展,4,5-2
恨不得,4,5-2
一夜致富,4,5-2
一片天,4,5-2
高來恩,4,6-1
地震,4,6-1
搖,4,6-1
厲害,4,6-1
經常,4,6-1
倒,4,6-1
橋,4,6-1
斷,4,6-1
多,4,6-1
地區,4,6-1
強烈,4,6-1
頻率,4,6-1
預測,4,6-1
徵兆,4,6-1
鳥類,4,6-1
雞,4,6-1
預先,4,6-1
老鼠,4,6-1
貓,4,6-1
馬,4,6-1
證實,4,6-1
應變,4,6-1
隨手,4,6-1
白,4,6-1
嫌,4,6-1
事前,4,6-1
總是,4,6-1
西歐,4,6-1
北歐,4,6-1
中歐,4,6-1
澳洲,4,6-1
南美洲,4,6-1
地球科學,4,6-1
菲律賓,4,6-1
天搖地動,4,6-1
壓死,4,6-1
災情慘重,4,6-1
東半部,4,6-1
地震帶,4,6-1
救生包,4,6-1
有備無患,4,6-1
如何,4,6-2
逃生,4,6-2
發達,4,6-2
天災,4,6-2
災害,4,6-2
程度,4,6-2
首先,4,6-2
其次,4,6-2
災難,4,6-2
緊急,4,6-2
必需品,4,6-2
譬如,4,6-2
手電筒,4,6-2
餅乾,4,6-2
平時,4,6-2
狀況,4,6-2
慌張,4,6-2
停電,4,6-2
黑暗,4,6-2
方向,4,6-2
集合,4,6-2
裂縫,4,6-2
瓦斯,4,6-2
開關,4,6-2
火災,4,6-2
門框,4,6-2
歪,4,6-2
頭部,4,6-2
冷靜,4,6-2
穩,4,6-2
櫃子,4,6-2
牆壁,4,6-2
倒塌,4,6-2
電梯,4,6-2
反而,4,6-2
堅固,4,6-2
柱子,4,6-2
碰,4,6-2
形成,4,6-2
三角形,4,6-2
保持,4,6-2
平靜,4,6-2
指示,4,6-2
救援,4,6-2
行動,4,6-2
掉下來,4,6-2
倒下來,4,6-2
救災人員,4,6-2
博文,4,7-1
玉珍,4,7-1
學妹,4,7-1
學弟,4,7-1
彈,4,7-1
吉他,4,7-1
交,4,7-1
家教,4,7-1
學長,4,7-1
還,4,7-1
進度,4,7-1
落後,4,7-1
完成,4,7-1
一連,4,7-1
約會,4,7-1
一生,4,7-1
時光,4,7-1
倒流,4,7-1
加強,4,7-1
至少,4,7-1
訓練,4,7-1
外國,4,7-1
爭取,4,7-1
實習,4,7-1
二分之一,4,7-1
一下…一下…,4,7-1
到時候,4,7-1
談戀愛,4,7-1
低空飛過,4,7-1
有助於,4,7-1
寒暑假,4,7-1
暗戀,4,7-2
目光,4,7-2
移動,4,7-2
於是,4,7-2
原來,4,7-2
煩惱,4,7-2
擔任,4,7-2
學生會,4,7-2
會長,4,7-2
校隊,4,7-2
隊員,4,7-2
高大,4,7-2
帥氣,4,7-2
雙,4,7-2
開朗,4,7-2
微笑,4,7-2
情人節,4,7-2
親手,4,7-2
巧克力,4,7-2
當天,4,7-2
堆,4,7-2
向,4,7-2
告白,4,7-2
萬人迷,4,7-2
交往,4,7-2
系花,4,7-2
追,4,7-2
情書,4,7-2
態度,4,7-2
曖昧,4,7-2
甜蜜,4,7-2
溫柔,4,7-2
訊息,4,7-2
忌妒,4,7-2
安全感,4,7-2
吃醋,4,7-2
吵架,4,7-2
牽,4,7-2
吻,4,7-2
劈腿,4,7-2
糟糕,4,7-2
何清源,4,7-2
林榮華,4,7-2
一見鍾情,4,7-2
一舉一動,4,7-2
前一天,4,7-2
已讀不回,4,7-2
王麗華,4,8-1
魯亞,4,8-1
論文,4,8-1
反正,4,8-1
不只,4,8-1
哈,4,8-1
代替,4,8-1
獨自,4,8-1
難免,4,8-1
費用,4,8-1
觀念,4,8-1
代,4,8-1
婚姻,4,8-1
束縛,4,8-1
追求,4,8-1
倒是,4,8-1
推行,4,8-1
生育,4,8-1
補助,4,8-1
老人,4,8-1
夫婦,4,8-1
獨生子,4,8-1
寵,4,8-1
職業,4,8-1
婦產科,4,8-1
失業,4,8-1
補習班,4,8-1
不可思議,4,8-1
有話直說,4,8-1
娃娃推車,4,8-1
不足為奇,4,8-1
遠遠,4,8-1
傳宗接代,4,8-1
無拘無束,4,8-1
老一輩,4,8-1
一胎化政策,4,8-1
這下子,4,8-1
已,4,8-2
生育率,4,8-2
離婚,4,8-2
年齡,4,8-2
較,4,8-2
使,4,8-2
行業,4,8-2
重大,4,8-2
幼稚園,4,8-2
招生,4,8-2
減班,4,8-2
將,4,8-2
少子化,4,8-2
連鎖,4,8-2
兒童,4,8-2
美語,4,8-2
倒閉,4,8-2
何況,4,8-2
無法,4,8-2
未來,4,8-2
遠景,4,8-2
足夠,4,8-2
加入,4,8-2
老化,4,8-2
針對,4,8-2
項,4,8-2
措施,4,8-2
減稅,4,8-2
延長,4,8-2
產假,4,8-2
托育,4,8-2
胎,4,8-2
領,4,8-2
元,4,8-2
成年,4,8-2
除非,4,8-2
整體,4,8-2
否則,4,8-2
婦女,4,8-2
意願,4,8-2
祖父母,4,8-2
孫女,4,8-2
重,4,8-2
預算,4,8-2
財政,4,8-2
沉重,4,8-2
有效,4,8-2
正,4,8-2
考驗,4,8-2
智慧,4,8-2
之一,4,8-2
寧缺勿濫,4,8-2
合不來,4,8-2
生兒育女,4,8-2
獨善其身,4,8-2
停滯不前,4,8-2
逐漸,4,9-1
據點,4,9-1
統治,4,9-1
景點,4,9-1
繁榮,4,9-1
港口,4,9-1
據說,4,9-1
鹿,4,9-1
鹿群,4,9-1
形狀,4,9-1
鹿角,4,9-1
便,4,9-1
稱,4,9-1
動物園 ,4,9-1
皮,4,9-1
殺,4,9-1
數量,4,9-1
風光,4,9-1
民宅,4,9-1
蚵仔煎,4,9-1
哦,4,9-1
該,4,9-1
興盛,4,9-1
時期,4,9-1
獨木舟,4,9-1
為,4,9-1
載運,4,9-1
改名,4,9-1
相似,4,9-1
沒落,4,9-1
依然,4,9-1
保留,4,9-1
鹿港,4,9-1
艋舺,4,9-1
淡水河,4,9-1
萬華,4,9-1
台語,4,9-1
日語,4,9-1
家喻戶曉,4,9-1
滿山遍野,4,9-1
古色古香,4,9-1
綠豆糕,4,9-1
牛舌餅,4,9-1
垂涎三尺,4,9-1
數目,4,9-2
大約,4,9-2
佔,4,9-2
自從,4,9-2
將近,4,9-2
往來,4,9-2
思念,4,9-2
通信,4,9-2
毫無,4,9-2
音訊,4,9-2
遠離,4,9-2
妻子,4,9-2
永遠,4,9-2
開放,4,9-2
探親,4,9-2
親人,4,9-2
打聽,4,9-2
不禁,4,9-2
淚,4,9-2
尚未,4,9-2
出世,4,9-2
童年,4,9-2
傷心,4,9-2
筆,4,9-2
仍然,4,9-2
原諒,4,9-2
盡,4,9-2
究竟,4,9-2
內心,4,9-2
創傷,4,9-2
珍惜,4,9-2
精華,4,9-2
逃難,4,9-2
實在,4,9-2
歲月,4,9-2
遭遇,4,9-2
老兵,4,9-2
老張,4,9-2
文化大革命,4,9-2
落地生根,4,9-2
身強體壯,4,9-2
離鄉背井,4,9-2
飄洋過海,4,9-2
朝思暮想,4,9-2
一輩子,4,9-2
恐懼不安,4,9-2
刻骨銘心,4,9-2
何建明,4,10-1
應徵,4,10-1
配,4,10-1
領帶,4,10-1
花,4,10-1
素色,4,10-1
剩下,4,10-1
龍頭,4,10-1
起薪,4,10-1
福利,4,10-1
具備,4,10-1
限制,4,10-1
以上,4,10-1
以下,4,10-1
相關,4,10-1
各位,4,10-1
應屆,4,10-1
畢業生,4,10-1
大一,4,10-1
企劃部,4,10-1
營運,4,10-1
知識,4,10-1
社長,4,10-1
聯合,4,10-1
音樂會,4,10-1
節目,4,10-1
好評,4,10-1
企劃,4,10-1
領導,4,10-1
合作,4,10-1
似乎,4,10-1
關於,4,10-1
磨練,4,10-1
優點,4,10-1
上司,4,10-1
誇獎,4,10-1
週,4,10-1
內,4,10-1
以,4,10-1
書面,4,10-1
通知,4,10-1
就…而言,4,10-1
新鮮人,4,10-1
面試官,4,10-1
自我介紹,4,10-1
所學有限,4,10-1
出國,4,10-2
資金,4,10-2
廠商,4,10-2
例外,4,10-2
關,4,10-2
接觸,4,10-2
青年,4,10-2
貸款,4,10-2
開店,4,10-2
料,4,10-2
損失,4,10-2
勇氣,4,10-2
員工,4,10-2
求職,4,10-2
目標,4,10-2
初步,4,10-2
技巧,4,10-2
概念,4,10-2
挑,4,10-2
基本,4,10-2
襯衫,4,10-2
過程,4,10-2
同班,4,10-2
是…的料,4,10-2
接下來,4,10-2
提不起（勇氣）,4,10-2
