生詞,冊,課-序號
塊,1,10-1
香,1,10-1
甜,1,10-1
紅色,1,10-1
西瓜,1,10-1
吧,1,10-1
對,1,10-1
以前,1,10-1
機會,1,10-1
請,1,10-1
吃吃看,1,10-1
拍,1,10-2
笑,1,10-2
開心,1,10-2
穿,1,10-2
衣服,1,10-2
旅館,1,10-2
太太,1,10-2
男,1,10-2
矮,1,10-2
高,1,10-2
弟弟,1,10-2
乾淨,1,10-2
窗戶,1,10-2
往,1,10-2
藍色,1,10-2
因為,1,10-2
住,1,10-2
上個月,1,10-2
這些,1,10-2
租,1,11-1
房東,1,11-1
客廳,1,11-1
廚房,1,11-1
左邊,1,11-1
右邊,1,11-1
浴室,1,11-1
超市,1,11-1
走路,1,11-1
分鐘,1,11-1
就,1,11-1
到,1,11-1
間,1,11-1
空,1,11-1
房間,1,11-1
套房,1,11-1
回去,1,11-1
想,1,11-1
再,1,11-1
電話,1,11-1
給,1,11-1
林,1,11-1
打電話,1,11-1
喂,1,11-2
房租,1,11-2
已經,1,11-2
習慣,1,11-2
問題,1,11-2
熱水器,1,11-2
好像,1,11-2
會,1,11-2
等,1,11-2
那,1,11-2
裝,1,11-2
不過,1,11-2
付,1,11-2
收到,1,11-2
不好意思,1,11-2
沒關係,1,11-2
有線電視,1,11-2
計畫,1,12-1
年,1,12-1
久,1,12-1
時間,1,12-1
先,1,12-1
念,1,12-1
大學,1,12-1
需要,1,12-1
花,1,12-1
獎學金,1,12-1
成績,1,12-1
學費,1,12-1
公司,1,12-1
替,1,12-1
希望,1,12-1
以後,1,12-1
到,1,12-1
上班,1,12-1
念書,1,12-1
累,1,12-1
語言中心,1,12-1
加油,1,12-1
工作,1,12-2
去年,1,12-2
做 ,1,12-2
生意,1,12-2
以後,1,12-2
好,1,12-2
找,1,12-2
工作,1,12-2
這樣,1,12-2
國家,1,12-2
試,1,12-2
難,1,12-2
那麼,1,12-2
再,1,12-2
試試看,1,12-2
生日,1,13-1
快樂,1,13-1
回來,1,13-1
啊,1,13-1
怎麼,1,13-1
忘,1,13-1
記得,1,13-1
當然,1,13-1
語言,1,13-1
交換,1,13-1
那麼,1,13-1
熱心,1,13-1
西班牙文,1,13-1
一樣,1,13-1
過,1,13-1
左右,1,13-1
門口,1,13-1
西班牙,1,13-1
生日快樂,1,13-1
我就是,1,13-1
好久不見,1,13-1
不必客氣,1,13-1
太客氣,1,13-1
禮物,1,13-2
今年,1,13-2
訂,1,13-2
了,1,13-2
豬腳,1,13-2
麵線,1,13-2
蛋,1,13-2
一點,1,13-2
傳統,1,13-2
年輕,1,13-2
蛋糕,1,13-2
對,1,13-2
祝,1,13-2
哪裡，哪裡,1,13-2
大部分,1,13-2
萬事如意,1,13-2
心想事成,1,13-2
天氣,1,14-1
冷,1,14-1
風,1,14-1
滑雪,1,14-1
春天,1,14-1
想,1,14-1
新年,1,14-1
快,1,14-1
父母,1,14-1
冬天,1,14-1
明年,1,14-1
秋天,1,14-1
紅葉,1,14-1
只,1,14-1
玉山,1,14-1
紐約,1,14-1
下雪,1,14-1
十二月底,1,14-1
雨,1,14-2
傘,1,14-2
颱風,1,14-2
要,1,14-2
夏天,1,14-2
濕,1,14-2
討厭,1,14-2
